date, pm25
2020-09-27,49
2020-09-28,49
2020-09-29,38
2020-09-30,57
2020-10-01,56
2020-10-02,48
2020-10-03,57
2020-10-04,43
2020-10-05,58
2020-10-06,68
2020-10-07,67
2020-10-08,57
2020-10-09,53
2020-10-10,52
2020-10-11,58
2020-10-12,77
2020-10-13,69
2020-10-14,63
2020-10-15,79
2020-10-16,49
2020-10-17,46
2020-10-18,42
2020-10-19,71
2020-10-20,67
2020-10-21,65
2020-10-22,75
2020-10-23,83
2020-10-24,99
2020-10-25,128
2020-10-26,116
2020-10-27,82
2020-10-28,94
2020-10-29,76
2020-10-30,57
2020-10-31,58
2020-11-01,56
2020-11-02,77
2020-11-03,79
2020-11-04,94
2020-11-05,85
2020-11-06,94
2020-11-07,74
2020-11-08,103
2020-11-09,102
2020-11-10,108
2020-11-11,101
2020-11-12,87
2020-11-13,106
2020-11-14,120
2020-11-15,138
2020-11-16,77
2020-11-17,89
2020-11-18,100
2020-11-19,119
2020-11-20,107
2020-11-21,80
2020-11-22,77
2020-11-23,92
2020-11-24,72
2020-11-25,73
2020-11-26,67
2020-11-27,59
2020-11-28,71
2020-11-29,71
2020-11-30,60
2020-12-01,66
2020-12-02,67
2020-12-03,68
2020-12-04,80
2020-12-05,83
2020-12-06,91
2020-12-07,109
2020-12-08,104
2020-12-09,103
2020-12-10,132
2020-12-11,148
2020-12-12,140
2020-12-13,143
2020-12-14,161
2020-12-15,149
2020-12-16,107
2020-12-17,83
2020-12-18,93
2020-12-19,79
2020-12-20,81
2020-12-21,88
2020-12-22,116
2020-12-23,128
2020-12-24,138
2020-12-25,120
2020-12-26,106
2020-12-27,101
2020-12-28,81
2020-12-29,105
2020-12-30,98
2020-12-31,76
2021-01-01,82
2021-01-02,93
2021-01-03,130
2021-01-04,119
2021-01-05,108
2021-01-06,116
2021-01-07,100
2021-01-08,87
2021-01-09,74
2021-01-10,89
2021-01-11,97
2021-01-12,96
2021-01-13,143
2021-01-14,168
2021-01-15,180
2021-01-16,167
2021-01-17,134
2021-01-18,101
2021-01-19,149
2021-01-20,169
2021-01-21,170
2021-01-22,187
2021-01-23,165
2021-01-24,105
2021-01-25,90
2021-01-26,95
2021-01-27,110
2021-01-28,110
2021-01-29,120
2021-01-30,131
2021-01-31,138
2021-02-01,159
2021-02-02,149
2021-02-03,150
2021-02-04,142
2021-02-05,141
2021-02-06,139
2021-02-07,160
2021-02-08,111
2021-02-09,114
2021-02-10,107
2021-02-11,98
2021-02-12,123
2021-02-13,121
2021-02-14,95
2021-02-15,93
2021-02-16,93
2021-02-17,107
2021-02-18,131
2021-02-19,121
2021-02-20,128
2021-02-21,154
2021-02-22,147
2021-02-23,125
2021-02-24,129
2021-02-25,141
2021-02-26,143
2021-02-27,142
2021-02-28,126
2021-03-01,83
2021-03-02,67
2021-03-03,58
2021-03-04,74
2021-03-05,71
2021-03-06,80
2021-03-07,77
2021-03-08,86
2021-03-09,89
2021-03-10,105
2021-03-11,120
2021-03-12,104
2021-03-13,94
2021-03-14,88
2021-03-15,86
2021-03-16,93
2021-03-17,104
2021-03-18,121
2021-03-19,104
2021-03-20,103
2021-03-21,84
2021-03-22,117
2021-03-23,119
2021-03-24,140
2021-03-25,119
2021-03-26,73
2021-03-27,62
2021-03-28,71
2021-03-29,70
2021-03-30,75
2021-03-31,93
2021-04-01,79
2021-04-02,47
2021-04-03,55
2021-04-04,59
2021-04-05,91
2021-04-06,86
2021-04-07,89
2021-04-08,86
2021-04-09,74
2021-04-10,90
2021-04-11,85
2021-04-12,86
2021-04-13,70
2021-04-14,61
2021-04-15,74
2021-04-16,66
2021-04-17,64
2021-04-18,61
2021-04-19,47
2021-04-20,51
2021-04-21,58
2021-04-22,83
2021-04-23,77
2021-04-24,75
2021-04-25,84
2021-04-26,79
2021-04-27,66
2021-04-28,82
2021-04-29,62
2021-04-30,67
2021-05-01,70
2021-05-02,73
2021-05-03,69
2021-05-04,80
2021-05-05,90
2021-05-06,69
2021-05-07,48
2021-05-08,83
2021-05-09,71
2021-05-10,67
2021-05-11,62
2021-05-12,59
2021-05-13,61
2021-05-14,50
2021-05-15,53
2021-05-16,46
2021-05-17,56
2021-05-18,45
2021-05-19,54
2021-05-20,48
2021-05-21,43
2021-05-22,49
2021-05-23,44
2021-05-24,48
2021-05-25,43
2021-05-26,56
2021-05-27,66
2021-05-28,49
2021-05-29,45
2021-05-30,36
2021-05-31,47
2021-06-01,58
2021-06-02,60
2021-06-03,53
2021-06-04,55
2021-06-05,56
2021-06-06,49
2021-06-07,45
2021-06-08,46
2021-06-09,35
2021-06-10,29
2021-06-11,51
2021-06-12,72
2021-06-13,61
2021-06-14,51
2021-06-15,62
2021-06-16,46
2021-06-17,46
2021-06-18,50
2021-06-19,50
2021-06-20,45
2021-06-21,74
2021-06-22,94
2021-06-23,68
2021-06-24,46
2021-06-25,67
2021-06-26,54
2021-06-27,36
2021-06-28,48
2021-06-29,61
2021-06-30,49
2021-07-01,47
2021-07-02,44
2021-07-03,47
2021-07-04,42
2021-07-05,41
2021-07-06,43
2021-07-07,42
2021-07-08,51
2021-07-09,48
2021-07-10,47
2021-07-11,34
2021-07-12,33
2021-07-13,54
2021-07-14,67
2021-07-15,53
2021-07-16,50
2021-07-17,54
2021-07-18,43
2021-07-19,31
2021-07-20,35
2021-07-21,36
2021-07-22,55
2021-07-23,51
2021-07-24,56
2021-07-25,44
2021-07-26,48
2021-07-27,40
2021-07-28,45
2021-07-29,44
2021-07-30,53
2021-07-31,61
2021-08-01,52
2021-08-02,42
2021-08-03,40
2021-08-04,52
2021-08-05,60
2021-08-06,53
2021-08-07,54
2021-08-08,57
2021-08-09,56
2021-08-10,56
2021-08-11,42
2021-08-12,33
2021-08-13,37
2021-08-14,43
2021-08-15,37
2021-08-16,32
2021-08-17,60
2021-08-18,54
2021-08-19,49
2021-08-20,61
2021-08-21,55
2021-08-22,55
2021-08-23,42
2021-08-24,45
2021-08-25,51
2021-08-26,36
2021-08-27,52
2021-08-28,42
2021-08-29,33
2021-08-30,50
2021-08-31,61
2021-09-01,62
2021-09-02,45
2021-09-03,39
2021-09-04,45
2021-09-05,53
2021-09-06,59
2021-09-07,58
2021-09-08,53
2021-09-09,62
2021-09-10,44
2021-09-11,47
2021-09-12,46
2021-09-13,45
2021-09-14,53
2021-09-15,50
2021-09-16,37
2021-09-17,44
2021-09-18,59
2021-09-19,52
2021-09-20,54
2021-09-21,33
2021-09-22,23
2021-09-23,18
2021-09-24,30
2021-09-25,19
2021-09-26,25
2021-09-27,35
2021-09-28,66
2021-09-29,98
2021-09-30,79
2021-10-01,58
2021-10-02,57
2021-10-03,72
2021-10-04,73
2021-10-05,83
2021-10-06,64
2021-10-07,69
2021-10-08,100
2021-10-09,54
2021-10-10,48
2021-10-11,43
2021-10-12,47
2021-10-13,39
2021-10-14,49
2021-10-15,57
2021-10-16,57
2021-10-17,38
2021-10-18,48
2021-10-19,72
2021-10-20,87
2021-10-21,97
2021-10-22,75
2021-10-23,58
2021-10-24,56
2021-10-25,64
2021-10-26,80
2021-10-27,86
2021-10-28,92
2021-10-29,76
2021-10-30,90
2021-10-31,61
2021-11-01,62
2021-11-02,69
2021-11-03,66
2021-11-04,67
2021-11-05,71
2021-11-06,81
2021-11-07,72
2021-11-08,71
2021-11-09,61
2021-11-10,74
2021-11-11,88
2021-11-12,81
2021-11-13,84
2021-11-14,90
2021-11-15,92
2021-11-16,69
2021-11-17,55
2021-11-18,63
2021-11-19,70
2021-11-20,79
2021-11-21,79
2021-11-22,83
2021-11-23,58
2021-11-24,59
2021-11-25,81
2021-11-26,89
2021-11-27,88
2021-11-28,96
2021-11-29,87
2021-11-30,94
2021-12-01,105
2021-12-02,105
2021-12-03,102
2021-12-04,103
2021-12-05,109
2021-12-06,111
2021-12-07,126
2021-12-08,122
2021-12-09,100
2021-12-10,96
2021-12-11,98
2021-12-12,81
2021-12-13,79
2021-12-14,123
2021-12-15,129
2021-12-16,131
2021-12-17,117
2021-12-18,90
2021-12-19,87
2021-12-20,128
2021-12-21,159
2021-12-22,166
2021-12-23,146
2021-12-24,131
2021-12-25,78
2021-12-26,74
2021-12-27,89
2021-12-28,62
2021-12-29,64
2021-12-30,70
2021-12-31,69
2022-01-01,75
2022-01-02,75
2022-01-03,82
2022-01-04,101
2022-01-05,112
2022-01-06,113
2022-01-07,129
2022-01-08,103
2022-01-09,117
2022-01-10,117
2022-01-11,104
2022-01-12,99
2022-01-13,94
2022-01-14,85
2022-01-15,94
2022-01-16,101
2022-01-17,120
2022-01-18,110
2022-01-19,85
2022-01-20,102
2022-01-21,67
2022-01-22,57
2022-01-23,64
2022-01-24,74
2022-01-25,82
2022-01-26,81
2022-01-27,87
2022-01-28,83
2022-01-29,86
2022-01-30,78
2022-01-31,76
2022-02-01,68
2022-02-02,58
2022-02-03,66
2022-02-04,73
2022-02-05,94
2022-02-06,112
2022-02-07,147
2022-02-08,145
2022-02-09,95
